ID;language;definiendum;definition source;definition;
A1.0002;SL;zakrasela dolina;Gams et al., 1973;suha dolina, zakrasela dolina: Dolinasta oblika na krasu, brez stalnega površinskega vodnega toka. Glede na trajanje toka so trajno in obdobno suhe doline. ;
A1.0002;HR;suha dolina;Roglić, 1973;"suha dolina – dolina kojom ne protječe tekućica; češće su u fluviokršu, a rijetke u kršu. Mnoge “pseudodoline” (v.), udoline (v.) i drage (v.) su naslijeđe diferenciranog modeliranja tokom vlažnog i hladnog pleistocena, a važni su i procesi plošne korozije (v. korozija) i povezana evolucija površja u šumovitom i pokrivenom kršu (v.). Aktivne i suhe doline imaju u kršu kanjonski izgled. Sljedbenici teorije o sekundarnoj (poslije faze fluvijalnog modeliranja) prirodi krša bezuspješno su pretpostavljenim suhim dolinama pokušavali obnoviti prvobitne dolinske sustave.";
A1.0003;EN;grike;Gillieson, 1996;grike - a deep, narrow, vertical or steeply inclined rectilinear slot in a rock outcrop as a result of solution along a joint.;
A1.0003;EN;cutters;Gunn, 2004;The term “cutters” is commonly used in North America as a synonym for grike, although it is best applied to a variety of grike that develops beneath soil cover.;
A1.0003;EN;cutter;Monroe, 1970;cutter :  A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren.;
A1.0003;EN;cutter;Monroe, 1970;cutter :   Solution crevice in limestone underlying residual phosphate deposits. ;
A1.0003;EN;grike;Monroe, 1970;grike, gryke :   A vertical or subvertical fissure in a limestone pavement developed by solution along a joint. Synonym:  Kluftkarren.;
A1.0003;EN;gryke;Monroe, 1970;grike, gryke :   A vertical or subvertical fissure in a limestone pavement developed by solution along a joint. Synonym:  Kluftkarren.;
A1.0003;EN;kluftkarren;Monroe, 1970;grike, gryke :   A vertical or subvertical fissure in a limestone pavement developed by solution along a joint. Synonym:  Kluftkarren.;
A1.0003;EN;grikes;N.N.;"Kluftkarren or grikes are merely the visible surface expression of the fissures of a karstifiable rock; as such, they are a significant component of the epikarst, or the outer skin of the whole karst system.";
A1.0003;EN;kluftkarren ;N.N.;"Kluftkarren or grikes are merely the visible surface expression of the fissures of a karstifiable rock; as such, they are a significant component of the epikarst, or the outer skin of the whole karst system.";
A1.0003;EN;cutter;White and Culver, 2012;A cutter is a deep grike that has formed under an acidic soil cover, often with a complex curved cross section, some cavernous karren, and remnant rounded pinnacles.;
A1.0003;SL;škraplje;Miklavčič, 2006 po Gams, 1973;ŠKRAPLJE: So manjša kraška oblika, dolga od nekaj centimetrov do več decimetrov in metrov, izjedena v trdi kamnini (apnencu ali drugih karbonatnih kamninah), nastala zaradi kemičnega delovanja vode.;
A1.0003;SL;škraplje;Štembergar, 2016;Škraplje so kraške oblike, ki nastanejo zaradi korozije vode na površju ali subkutano.;
A1.0003;SL;škraplje;Leskovar, 2007;Škraplje so korozijske razjede, ki nastajajo s korozijo vode bodisi na površju ali subkutano.;
A1.0003;SL;lašti;Stepišnik, 2011;Posebna oblika škrapelj so lašti.;
A1.0003;SL;škraplja;Gams et al., 1973;škraplja, škrapa: Nekaj centimetrov do vec decimetrov in metrov razsežna izjedenina v skalnem površju, brez vzdolžnega pretakanja, ki ji smer določuje biološka linija najmanjšega odpora. V rabi tudi škraplje za skalni kompleks s škrapljami. Škraplje ločijo vmesni noži, grebeni, hrbti, poličke (z ravnim vrhom).;
A1.0003;SL;škrapa;Gams et al., 1973;škraplja, škrapa: Nekaj centimetrov do vec decimetrov in metrov razsežna izjedenina v skalnem površju, brez vzdolžnega pretakanja, ki ji smer določuje biološka linija najmanjšega odpora. V rabi tudi škraplje za skalni kompleks s škrapljami. Škraplje ločijo vmesni noži, grebeni, hrbti, poličke (z ravnim vrhom).;
A1.0003;HR;proširena fraktura ;Vrbanac, 2013;proširena fraktura : Otapanjem proširena fraktura u kršu. Dubina joj može iznositi desetke metara, a može ali i ne mora biti pokrivena zemljom.;
A1.0003;HR;grajk;Vrbanac, 2013;"grajk : U Engleskoj, vertikalna ili gotovo vertikalna pukotina u vapnencu širine oko 0,5 m formirana
otapanjem duž pukotine i dijeli izloženu površinu vapnenca na sekcije.";
A1.0003;HR;pukotina otapanja;Vrbanac, 2013;pukotina otapanja : Grupa ili niz pukotina otapanja.;
A1.0003;HR;škrape;Roglić, 1973;"škrape – mikrokrški oblici kojima je najedena površina karbonatnih stijena. Škrape su raznovrsnih oblika, koji ovise o sastavu, građi i površini karbonatnih stijena i uvjetima korodiranja. Razlikuju se prema tome da li su nastajale na ogoljeloj plohi ili pod pokrovom tla (subkutana korozija, v.). Pod pokrovom tla korozija se vrši plošno, tj. dodirom tla i stijene, te su škraparski oblici uobljeni; u pukotini koja je ispunjena tlom nastaju cjevaste grižine, prozori i mosne škrape. Veoma izrazite cjevaste grižine dubi kao svoje stanište prstac (Lithodomus litho phagus), te na obali mora nalazimo blokove vapnenca koji su kavernozno izbušeni i malom težinom podsjećaju na plovućac. 
tlom obuhvaćeni blokovi karbonatnih stijena se različito i slikovito modeliraju – skulpturne škrape, ili prstenasto probijaju – prstenaste grižine (v. ogoljeni krš). Različite stropne škrape (v. spilja), osobito u obliku izvrnutog lonca, vjerojatno su izmodelirane kontaktnom korozijom u doba kad su podzemne šupljine bile ispunjene nanosima.
škrape na plohama golih vapnenaca mnogo su razno likije i hrapavije; i ogolićene subkutane škrape brzo posta ju hrapave. Na plohama kompaktnih vapnenaca često su srećemo pravilne žljebove koje udubljuje mlaz vode; osobito su izraziti kada voda pritječe iz humusnog tla koje pojačava njenu agresivnost. Na blaže nagnutim plohama nastaju vijugavi meandarski žljebovi; između žljebova često zaostaju oštri bridovi.
griža (v.) ili škrapar je nepravilno i jako najedena površina vapnenca (v. ljut), pri čemu vjerojatno znatan udio ima struktura stijena. Pukotinske škrape su razvijene duž dijaklaza i dijastroma, koje se mogu ukrštati u mrežaste škrape.
i kamenice (v.) spadaju u grupu škrapa. Kad se kamenice rubnom korozijom otvore, ostaju tragovi njihova ravna dna, u obliku stopala (v.).
škrapama obiluje i obalski pojas. Tu su specifične rupičaste škrape, kod kojih se žlijeb na donjoj strani završava malim udubljenjem u kojem se zadrži voda. Različiti saksofiti u obalskom pojasu, a drugdje lišaji i mahovine, svojim biotskim procesima pridonose hrapavosti karbonatnih stijena. Pseudoškrapa je škrapi sličan oblik u nekarbonatnim stijenama.";
A1.0004;EN;karren;Ford and Williams, 2007;Karren range from 1 cm to 10 m in greatest dimension in most instances, although kluftkarren and some solution channels can be longer.;
A1.0004;EN;karren;Monroe, 1970;"Karren : Channels or furrows, caused by solution on massive bare limestone surfaces; they vary in depth from a few millimeters to more than a meter and are separated by ridges.";
A1.0004;EN;karren;N.N.;Karren is a common  term  used for dissolution features on exposed soluble rock surfaces (Gines 2009).;
A1.0004;EN;karren;N.N.;Karren is a common term used for dissolution features on exposed soluble rock surfaces.;
A1.0004;SL;splitkarren;Leskovar, 2007 po Gines, 2004;Manjše, poklinaste škraplje imenuje splitkarren, nastanejo pa ob manjših nezveznostih v kamnini.;
A1.0004;HR;škrapa;Vrbanac, 2013;"škrapa : Utori ili brazde nastale otapanjem na površinama masivnog, čistog vapnenca. Dubina im
varira od nekoliko milimetara do preko jednog metra, a međusobno su odvojene grebenima. Izraz opisuje
ukupni kompleks površinskih oblika otapanja nađen na kompaktnom čistom vapnencu. Bögli (1960) ih je
klasificirao na više vrsta od kojih su najčešći deckenkarren; kluftkarren; mäanderkarren; rillenkarren; 
rinnen-karren; rundkarren; spitzkarren; trittkarren. ";
A1.0004;EN;karren;Gillieson, 1996;karren - the minor forms of karst as a result of solution of rock on the surface or underground.;
A1.0005;EN;karst depression;N.N.;Karst depression is a common group term  for dolines, uvalas and poljes. ;
A1.0005;SL;kraška globel;Miklavčič, 2006 po Habič, 1978;Naslednja večja skupina kraških globeli so uvale, dolaste ali vrtačaste, sledijo kraška polja.;
A1.0006;EN;karst window;Gillieson, 1996;karst window - a dosed depression, not a polje, which has a stream flowing across its bottom.;
A1.0006;EN;karst window;Monroe, 1970;karst window :  Depression revealing a part of a subterranean river flowing across its floor, or an unroofed part of a cave. ;
A1.0006;EN;karst windows;N.N.;Short steep-sided valleys caused by collapse of an underground cavern and exposing the river to the surface  are called  karst windows.;
A1.0006;SL;udorna dolina;Gams et al., 1973;udorna dolina: Udorna vrtača, tudi brezno s tekočo vodo na dnu.;
A1.0006;HR;krški prozor;Vrbanac, 2013;krški prozor : Kolapsna jama kao ulaz u špilju.;
A1.0007;EN;konta;N.N.;A  konta is a closed karst  depression, like a doline, that has been remodelled during Pleistocene glaciation.;
A1.0007;SL;konta;Stepišnik, 2011;Večje visokogorske kotanje, do kilometer široke in do 100 metrov globoke, imenujemo konte.;
A1.0007;SL;konta;Stepišnik, 2011;"Večje kotanje v območjih poledenitve, ki najverjetneje nastanejo s točkastim odtekanjem podledeniških tokov v njihovih dneh, imenujemo konte.
";
A1.0007;SL;konta;Gams et al., 1973;konta: Uvala. Visokogorska uvala. Glaciokraška globel, več deset ali sto metrov dolga in široka, običajno skledaste oblike. Mnogokrat širša kot globlja. Ljudsko ime v Julijskih Alpah, kjer je zelo pogosta.;
A1.0008;EN;surface karst forms;Bonacci, 1942 po Vlahović, 1983;Surface karst forms are: karren, sinkholes (dolines), dry valleys and poljes.;
A1.0009;EN;doline;Gillieson, 1996;doline - a closed depression draining underground in karst, of simple but variable form, e.g., cylindrical, conical, bowl- or dish-shaped. from a few to many hundreds of metres in dimension.;
A1.0009;EN;doline;Gunn, 2004;Dolines are also sometimes known as sinkholes, particularly by engineers and especially in North America.;
A1.0009;EN;doline;Hofierka et al., 2018 po Ford and Williams, 2007;Sinkholes or dolines are closed land surface depressions with internal drainage typically formed in karst environments.;
A1.0009;EN;doline;Knez and Slabe, 2012;Dolines are a sign of the current shaping of the surface by precipitation water that percolates vertically through it and passes through the vadose part of the aquifer to the underground water.;
A1.0009;EN;doline;Mihevc and Gabrovšek, 2012;The term doline, of Slavonic origin, means literally valley but actually it has been used since a long time to indicate more or less well defined topographically depressed areas related to karst.;
A1.0009;EN;doline;Monroe, 1970;"doline :  A basin- or funnel-shaped hollow in limestone, ranging in diameter from a few meters to a kilometer and in depth from a few to several hundred meters. Some dolines are gentle grassy hollows; others are rocky cliff-bounded basins. A distinction may be made between those formed mainly by direct solution of the limestone surface zone, solution dolines, and those formed by collapse over a cave, collapse dolines, but it is generally not possible to establish the origin of individual examples. ";
A1.0009;EN;doline;White and Culver, 2012;The Slav term doline means “depression” and in a broad sense includes channels and hollows of different types, such as fluvial valleys, dry valleys, blind valleys, uvalas, poljes, and karst dolines.;
A1.0009;SL;kraška dolina;Gams et al., 1973;kraška dolina: Z vseh strani zaprta rečna dolina z izviri na eni in ponori na drugi strani. Prim. Rakov Škocjan.;
A1.0009;EN;sinkhole;Hofierka et al., 2018 po Ford and Williams, 2007;Sinkholes or dolines are closed land surface depressions with internal drainage typically formed in karst environments.;
A1.0009;EN;torca;Monroe, 1970;"torca :   Large closed depression, more or less circular; a doline. ";
A1.0009;EN;sinkhole;Fleury, 2009;"In order for a sinkhole to form in the first place, there are three requirements: a drainage path for the surface water runoff to follow ; a zone of bedrock modified by solution located at or near the surface; and a covering of soil or some other material making up the land surface (this last is not an absolute requirement; when that cover is absent, certain types of sinkholes can still form).";
A1.0009;EN;sinkhole;Gunn, 2004;The term sinkhole is sometimes used to refer both to dolines (especially in North America and in the engineering literature) and to depressions where streams sink underground, which in Europe are described by separate terms (including ponor, swallow hole, and stream-sink).;
A1.0009;EN;sinkhole;Monroe, 1970;sink, sinkhole :   General terms for closed depressions. They may be basin, funnel, or cylindrical shaped. ;
A1.0009;EN;sink;Monroe, 1970;sink, sinkhole :   General terms for closed depressions. They may be basin, funnel, or cylindrical shaped. ;
A1.0009;EN;sinkhole;Veni et al., 2001;A typical sinkhole is bowl shaped, with one or more low spots along its bottom.;
A1.0009;EN;sinkhole;White and Culver, 2012;According to this concept, a sinkhole is part of a long-term process and it may have different forms and surface expressions at different times.;
A1.0009;SL;vrtača;Rajh 2014 po Williams, 2006, Gams in sod., 1973 in Ford and Williams, 2007;Vrtače se pogosto nahajajo na karbonatih in evaporitih (Williams, 2006). Po obliki jih Slovenska kraška terminologija (Gams in sod., 1973) deli na skledaste, lijakaste, kotlaste in vodnjakaste. Po nastanku pa jih ločimo na korozijske, udorne, sufozijske in posedne (Ford, Williams, 2007) Veliko gostoto vrtač najdemo na apnencih, na dolomitih jih navadno ni, razvijejo se tudi na pleistocenskih in oligocenskih konglomeratih. Na njihovo razporeditev vpliva tudi relief, saj se manj pogosto pojavljajo na strmih pobočjih, zato sta pobočni naklon in gostota vrtač obratno sorazmerna. Odvisne so tudi od skladovitosti apnencev.;
A1.0009;SL;vrtača;Šeško, 2007 po Slovenska kraška terminologija , 1973;Vrtača je depresijska oblika, navadno globoka več metrov in je bolj široka kot globoka.;
A1.0009;SL;vrtača;Ropret, 2016 po Stepišnik, 2011;Vrtača je zaprta kraška kotanja, ki je v tlorisu bolj ali manj okrogle oblike.;
A1.0009;SL;vrtača;Urankar, 2007;Vrtača je kotanja okroglaste oblike, ki se začne poglabljati v površje z vidnim prelomom strmine.;
A1.0009;SL;vrtača;Stepišnik, 2011;Vrtača je kotanja, navadno globoka več metrov, in je bolj široka kot globoka.;
A1.0009;SL;vrtača;Gams 2004 po Monroe, 1970;Ameriška kraška terminologija Monroe, 1970 definira vrtačo kot kotlasto ali lijakasto kotanjo v apnencu, s premerom do enega kilometra širine in globino od nekaj do več sto metrov.;
A1.0009;SL;vrtača;Frelih, 2014;Beseda vrtača je bila nekdaj domnevno živa slovenska ljudska beseda, ki je pomenila manjšo globel.;
A1.0009;SL;vrtača;Gams et al., 1973;Vrtača je depresijska oblika, navadno globoka več metrov in je bolj široka kot globoka.;
A1.0009;SL;vrtača;Stepišnik, 2017;Najpogostejše reliefne oblika na območju so vrtače.;
A1.0009;SL;dolina;Gams et al., 1973;dolina: Je internacionalni termin za vrtačo. V polpretekli dobi, včasih v sestavi kraška dolina, slovenski strokovni izraz za vrtačo. ;
A1.0009;SL;vrtača;Gams et al., 1973;vrtrača: V Sloveniji ljudsko dolina, le v Beli Krajini draga. V slovenskem strokovnem slovstvu se je vrtača uveljavila v prvi polovici XX. stol., ker je dolina preširok pojem. Vrtača je depresijska oblika, navadno globoka več metrov in je bolj široka kot globoka.;
A1.0009;HR;vrtača;Vrbanac, 2013;"vrtača : Zatvorena depresija kružna oblika, čiji se promjer mjeri metrima ili desecima metara, u
krškom ili pseudokrškom području. Njome se voda drenira u podzemlje gdje se dalje širi sustavom
pukotina, šupljina i špilja. Ona obuhvaća depresije sa i bez ponora, mjesta poniranja, špilje, krške prozore i
jame i vertikalne šahte.";
A1.0010;EN;tiankeng;White and Culver, 2012 po Zhu and Waltham, 2006;A tiankeng is a collapse doline at least 100 m long, wide and deep, and with perimeter walls that are close to vertical.;
A1.0011;EN;cenote;Gillieson, 1996;cenote - a partly water-tilled, wall-sided doline.;
A1.0011;EN;cenote;Monroe, 1970;"cenote :   Steep-walled natural well that extends below the water tabl?; generally caused by collapse of a cave roof. Term used only for features in Yucatan. See also natural well.";
A1.0011;EN;cenotes;White and Culver, 2012;A particular type of collapse doline is the cenotes, open depressions in the coastal karst belts giving access to the water table and resulting from the collapse of the roof of submerged cavities.;
A1.0011;SL;vodnjakasta vrtača;Gams et al., 1973;vodnjakasta vrtača: Globoka vrtača s strmimi stenami.;
A1.0011;HR;cenota;Vrbanac, 2013;cenota : Prirodni površinski otvor strmih stijenki. Obično je ispunjen vodom, a uglavnom je nastao kolapsom svoda špilje. Izraz se pretežito koristi za oblike na poluotoku Yucatanu u Meksiku. ;
A1.0011;HR;cenot;Roglić, 1973;"cenot, ujezerena vrtača – naziv uzet s Jukatana (cenote) i označuje bunarastu ponikvu koja je u donjem dijelu ispunjena vodom; radi se o plitkom kršu, gdje su urušavanja česta i temeljnica nije duboka. Postoji tendencija da se tako općenito nazivaju ponikve u kojima su jezera.";
A1.0011;HR;ujezerena vrtača;Roglić, 1973;"cenot, ujezerena vrtača – naziv uzet s Jukatana (cenote) i označuje bunarastu ponikvu koja je u donjem dijelu ispunjena vodom; radi se o plitkom kršu, gdje su urušavanja česta i temeljnica nije duboka. Postoji tendencija da se tako općenito nazivaju ponikve u kojima su jezera.";
A1.0012;EN;subsidence dolines ;White and Culver, 2012;Subsidence dolines are closed depressions caused by the subsiding of an area.;
A1.0013;EN;intersection dolines;White and Culver, 2012;Intersection dolines are depressions formed when an old cave system, partially or totally filled with sediments, is cut by the topographic surface as a consequence of the lowering of such a surface by chemical erosion.;
A1.0014;EN;compound hollow;White and Culver, 2012;A compound hollow is a form that originated from the fusion of simpler forms.;
A1.0015;EN;polygenetic sink;White and Culver, 2012;A polygenetic sink is a closed depression that clearly evolved through both the karst process and another morphogenetic process.;
A1.0016;EN;tecto-karstic hollow;White and Culver, 2012;A tecto-karstic hollow is a closed basin that developed inside a tectonic depression that also evolved through karst processes.;
A1.0017;EN;polje ;White and Culver, 2012 po Cvijić, 1895;In 1895, Cvijic defined a polje as a large karst depression, with a wide, flat and nearly horizontal floor, completely enclosed between steep slopes.;
A1.0017;EN;polje;Ford and Williams, 2007 po Sweeting, 1972 in  Roglić, 1974;The word polje signifies a field or a large plain, and it is still widely used in Slav languages without particular reference to karstic terrain (Sweeting 1972, Roglič 1974), although poljes in the karst of Slovenia are usually called dolina or dol (Gams 1994).;
A1.0017;EN;poljes;Gilli, 2015;Poljes are an important component of karst, where, aside from the bottoms of major dolines, they are one of the rare formations that can support large-scale agriculture.;
A1.0017;EN;polje;Gillieson, 1996;polje - a large closed depression draining underground, with a flat floor across which there may be an intermittent or perennial stream and which may be liable to flood and become a lake. the floor makes a sharp break with parts of surrounding slopes.;
A1.0017;EN;karst poljes;Knez, Petrič and Slabe, 2011;Karst poljes are natural retainers of discharge surpluses and important regulators of water conditions in rivers in the lower parts of river basins.;
A1.0017;EN;karst poljes;Mihevc, Prelovšek in Zupan Hajna, 2010;Karst poljes are the largest flat-floored enclosed depressions in karst.;
A1.0017;EN;polje;Monroe, 1970;polje :   In areas of karst topography, a very large closed depression, in some places several kilometers long and wide, having a flat floor either of bare limestone or covered by alluvium, and surrounded by generally steep walls of limestone. Synonym : interior valley.;
A1.0017;EN;interior valley;Monroe, 1970;polje :   In areas of karst topography, a very large closed depression, in some places several kilometers long and wide, having a flat floor either of bare limestone or covered by alluvium, and surrounded by generally steep walls of limestone. Synonym : interior valley.;
A1.0017;EN;karst poljes;White and Culver, 2012;Karst poljes are large karst depressions with flat bottoms, which are the result of solutional processes and karst water drainage.;
A1.0017;EN;poljes;White and Culver, 2012;Poljes are the largest closed depressions observed in the karst terrains.;
A1.0017;SL;kraško polje;Stepišnik, 2011;Za kraška polja sta značilna sklenjen obod nad razmeroma uravnanim obsežnim dnom in kraška hidrologija. Slovenska kraška terminologija (cit. Gams, 2004) opredeljuje, da je za kraško polje bistvena najmanj pol kilometra široka uravnava z višjim obodom.;
A1.0017;SL;kraško polje;Fabeković, 2013;Kraška polja so površinska kraška oblika.;
A1.0017;SL;kraško polje;Gostinčar in Stepišnik, 2012;Kraška polja so največje kraške kotanje.;
A1.0017;SL;kraško polje;Fabeković, 2013 po Gams, 1973 in Gams, 1974;"Cvijić je v svojih delih o krasu opredelil tri glavne dejavnike, ki opredeljujejo pojem kraškega polja: podolgovato, uravnano dno z jasno izraženim prehodom v višji obod (Gams, 1973; Gams, 1974).";
A1.0017;SL;kraško polje;Stepišnik, 2011;Za kraška polja sta značilna sklenjen obod nad razmeroma uravnanim obsežnim dnom in kraška hidrologija. ;
A1.0017;SL;kraško polje;Stepišnik, 2011 po Gams, 2004;Slovenska kraška terminologija (cit. Gams, 2004) opredeljuje, da je za kraško polje bistvena najmanj pol kilometra široka uravnava z višjim obodom.;
A1.0017;SL;kraško polje;Fabeković, 2013 po Gams, 1973, 1974 in 1978;"Natančnejšo opredelitev kraškega polja je podal Gams (1973; 1974; 1978) po sledečih kriterijih (Gams, 1978; cv: Ford, Williams, 2007; Gams, 1973: Gams, 1974): uravnano, tudi terasirano dno v živoskalni podlagi oziroma v nesortiranih naplavinah; jasno zaokrožena depresija s strmo vzpenjajočim se obodom vsaj na eni strani polja; kraški odtok; površinske vode na polju ponikajo.";
A1.0017;SL;kraško polje;Fabeković, 2013 po Ford and Williams, 2007;Novejša definicija kraška polja opredeljuje kot večje, jasno zaokrožene, uravnane depresije s posebnimi pritočnimi in odtočnimi značilnostmi oziroma kot otoke fluvialnega reliefa v krasu.;
A1.0017;SL;kraško pollje;Febeković, 2013;Kraška polja so površinska kraška oblika.;
A1.0017;SL;kraško polje;Ropret, 2016;Kraško polje je kotanja v kraškem ozemlju s sklenjenim višjim obodom in ravnim dnom.;
A1.0017;SL;kraško polje;Stepišnik, 2010 po Cvijič, 1893 in Gams, 1964;Večje globeli od uval imenujemo kraška polja.;
A1.0017;SL;kraško polje;Peternelj, 2009 po Ford, 2007;Ford (2007) definira kraško polje kot dolgo in zaprto depresijo z ravnim dnom v kraškem reliefu.;
A1.0017;SL;kraško polje;Gams et al., 1973;kraško polje, polje: Največja kraška vdolbina z ravnim dnom in kraškim odtokom. V tipični obliki ima ponikalnico in strm obod. Ime iz jugoslovanskih jezikov, ki je sprejeto kot mednarodni termin (polje).;
A1.0017;SL;polje;Gams et al., 1973;kraško polje, polje: Največja kraška vdolbina z ravnim dnom in kraškim odtokom. V tipični obliki ima ponikalnico in strm obod. Ime iz jugoslovanskih jezikov, ki je sprejeto kot mednarodni termin (polje).;
A1.0017;HR;unutrašnja dolina;Vrbanac, 2013;"unutrašnja dolina : Velika, zaravnjena, zatvorena depresija u krškom području. Ima podzemnu
odvodnju, a dno je uglavnom pokriveno aluvijalnim naslagama. Unutrašnje doline mogu povremeno postati
jezera tijekom perioda s jakim oborinama kada podzemni sustav odvodnje ne može primiti tako veliku
količinu vode. ";
A1.0017;HR;polje;Vrbanac, 2013;"polje : U okolišu krške topografije, vrlo velika zatvorena depresija, mjestimično duga i široka nekoliko
kilometara, s ravnim dnom ili od golog vapnenca ili dna prekrivenog aluvijalnim naslagama i uglavnom okružena
strmim vapnenačkim padinama.";
A1.0017;HR;polje;Roglić, 1973;"polje – 1. Općenit naziv za obrađenu ili obradivu površinu, veoma raširen u toponimima autarkijske ere. Donedavno su često spominjani nazivi: Zagrebačko p., Varaždinsko p., Ptujsko p., Splitsko p. i sl.; tržišnim povezivanjem ti nazivi brzo gube značenje i upotrebu. Pejzažno izolirana i gospodarski relativno važna polja u složenim dolinama održavaju se i dalje u toponimi ma, npr. Sarajevsko p., Kosovo p., Bihaćko p., Sinjsko p., Kninsko p. i sl.
posebnu grupu čine polja, izolirana u krškoj okolici, najizrazitija u pojasu dubokog (v.) Dinarskog krša. Za ta polja su vezana glavna naselja, po kojima su najčešće nazvana, npr.: Livanjsko p., Glamočko p., Imotsko p. i dr. Zbog specifičnosti, pejzažnog kontrasta i društvenog značenja ovi nazivi će se održati. Izolirana polja u kršu su vezana za rastrošive stijene koje su tektonskim gibanjem dospjele među otpornije vapnence. U trošivim i nepropusnim stijenama izmodelirane su udubine iz kojih otječu vode i od nose trošine kroz podzemlje krške okolice.
za vrijeme pleistocenskog zahlađenja pritjecale su veće količine vode i donošeno obilje trošina koje ponori nisu mogli gutati, tako su naplavljene ravnice, odnosno polja.
postglacijalnom izmjenom klime smanjeni su pritjecaj vode i nanos trošina i reaktivirani su mnogi ponori; odnosi se rahli pokrov i izbijaju, “rastu” stijene podloge.
u većini polja u kršu još nije uspostavljena ravnoteža između pritjecanja i podzemnog otjecanja te dolazi do periodskih ili dužih “blata” (v.) ili trajnih plavljenja, jezera (v.). Prokopavanje odvodnih tunela je pokazalo, da poplave nisu uvjetovane kolebanjem razine temeljnice, već nesrazmjerom između površinskog pritjecanja i kapaciteta ponora. Nepotrebno izdvajanje suhih polja uvjetova no je shematskom predpostavkom o kolebanju razine pod zemnih voda i vodi u zabunu.
u diferenciranom modeliranju izoliranih bazena smjenjivane su faze udubljivanja i naplavljivanja. U doba stabilnosti naplavne ravnice su rubnom korozijom (v.) širene u vapnenački obod, tako su izmodelirani korozijski podovi (v.) i zaravni (v.). Imajući u vidu ove kontaktne procese (v. krš, kontaktni) između nepropusnih stijena i vapnenaca, H. Lehmann je (1954) upotrijebio termin “rubna polja” (Randpoljen).
2. Pod utjecajem objašnjavanja cikličkog razvoja (v. ciklus) krških oblika i zbog nepoznavanja jezičnog značenja riječi “polje”, u literaturi se i dalje često pod tim nazivom misli na cijelu izoliranu udubinu i neopravdano dodaje i epitet “krško”.
prihvaćajući ideje cikličkog razvoja W. M. Davisa, J. Cvijić je (1901) objašnjavao da su polja krajnji oblik razvoja krških udubina (ponikva  uvala  polje). A. Grund (1910) je uočio bitnu specifičnost udubina u kršu i opravdano istakao da se treba ograničiti na “bazene (Becken) koji imaju ravno dno i podzemno otjecanje”.";
A1.0018;EN;peripheral polje;White and Culver, 2012;A peripheral polje is a depression fed by a large internal area of impermeable rocks with a centrifugal stream network.;
